ecosystem	name	version	scope	direct	source	checksum	lock_key
npm	@vitejs/plugin-react	6.0.3	dev	true	registry:npmjs	sha512-vmFvco5/QuC2f9Oj+wTk0+9XeDFkHxSamwZKYc7MxYwKICfvUvlMhqKI0VuICPltGqh1neqBKDvO4kes1ya8vg==	npm:node_modules/@vitejs/plugin-react
npm	@vitest/expect	4.1.10	dev	false	registry:npmjs	sha512-YsCn+qAk1GWjQOWFEsEcL2gNQ0zmVmQu3T03qP6UyjhtmdtwtbuI+DASn/7iQB3HGTXkdBwGddzxPlmiql5vlA==	npm:node_modules/@vitest/expect
npm	@vitest/mocker	4.1.10	dev	false	registry:npmjs	sha512-v0xaezt+DKEmKfaxg133ldzADrwLGd7Ze1MfQQTYfvs8OqZIwbxyxaYURivwV7sWy5fqn3rH5uOrSp07bp44Ow==	npm:node_modules/@vitest/mocker
npm	@vitest/pretty-format	4.1.10	dev	false	registry:npmjs	sha512-W1HsjSH4MXQ9YfmmhLAoIYf1HRfekQCGngeIgcei6MP5QQGWUe0gkopdZQaVCFO+JDJMrAJGwa5pRpNpvy4P8Q==	npm:node_modules/@vitest/pretty-format
npm	@vitest/runner	4.1.10	dev	false	registry:npmjs	sha512-IKI6kpIH+LmpROplyLwBBaCfMgOZOMsygVa6BARD6ahA04VRuJSa6OaVG7kRvSEMD870Vd91rSSw0eegtWyLGg==	npm:node_modules/@vitest/runner
npm	@vitest/snapshot	4.1.10	dev	false	registry:npmjs	sha512-xRkfOT1qpTAi/Ti4Y1LtfRc3kEuqxGw59eN2jN9pRWMtS/XDevekhcFSqvQqjUNGksfjMJu3Y+oJ+4Ypn2OaJw==	npm:node_modules/@vitest/snapshot
npm	@vitest/spy	4.1.10	dev	false	registry:npmjs	sha512-PLf/Ugvoq5wO/b4rwYCR1h2PSIdXz7wnkQFMiUpLdtM7l6pqVFcQIBEHyT1+l+cj7mNwAfZHzqXqDyjvOuwbDw==	npm:node_modules/@vitest/spy
npm	@vitest/utils	4.1.10	dev	false	registry:npmjs	sha512-fy9am/HWxbaGt/Sawrp90vt6Y6jQwf1RX77cz3uwoJwJVMli/e1IEwRPnMNJ7vKfPTwo0diXifkpPvwH9v7nGA==	npm:node_modules/@vitest/utils
npm	ansi-regex	5.0.1	dev	false	registry:npmjs	sha512-quJQXlTSUGL2LH9SUXo8VwsY4soanhgo6LNSm84E1LBcE8s3O0wpdiRzyR9z/ZZJMlMWv37qOOb9pdJlMUEKFQ==	npm:node_modules/ansi-regex
npm	ansi-styles	5.2.0	dev	false	registry:npmjs	sha512-Cxwpt2SfTzTtXcfOlzGEee8O+c+MmUgGrNiBcXnuWxuFJHe6a5Hz7qwhwe5OgaSYI0IJvkLqWX1ASG+cJOkEiA==	npm:node_modules/ansi-styles
npm	aria-query	5.3.0	dev	false	registry:npmjs	sha512-b0P0sZPKtyu8HkeRAfCq0IfURZK+SuwMjY1UXGBU27wpAiTwQAIlq56IbIO+ytk/JjS1fMR14ee5WBBfKi5J6A==	npm:node_modules/aria-query
npm	assertion-error	2.0.1	dev	false	registry:npmjs	sha512-Izi8RQcffqCeNVgFigKli1ssklIbpHnCYc6AknXGYoB6grJqyeby7jv12JUQgmTAnIDnbck1uxksT4dzN3PWBA==	npm:node_modules/assertion-error
npm	axe-core	4.12.1	dev	true	registry:npmjs	sha512-s7iGf5GaVMxEG0ENN9x+xTr7GFZCb1ZP/1uATUpCEK2X78nDB3RwbtFCo9pGAf9ru+VwoQ464DkaLEeRM08wJA==	npm:node_modules/axe-core
npm	better-course-schedule-planner-frontend	0.0.1	runtime	true	repository:frontend/package.json	NOT_APPLICABLE_LOCAL	npm:.
npm	bidi-js	1.0.3	dev	false	registry:npmjs	sha512-RKshQI1R3YQ+n9YJz2QQ147P66ELpa1FQEg20Dk8oW9t2KgLbpDLLp9aGZ7y8WHSshDknG0bknqGw5/tyCs5tw==	npm:node_modules/bidi-js
npm	chai	6.2.2	dev	false	registry:npmjs	sha512-NUPRluOfOiTKBKvWPtSD4PhFvWCqOi0BGStNWs57X9js7XGTprSmFoz5F0tWhR4WPjNeR9jXqdC7/UpSJTnlRg==	npm:node_modules/chai
npm	convert-source-map	2.0.0	dev	false	registry:npmjs	sha512-Kvp459HrV2FEJ1CAsi1Ku+MY3kasH19TFykTz2xWmMeq6bk2NU3XXvfJ+Q61m0xktWwt+1HSYf3JZsTms3aRJg==	npm:node_modules/convert-source-map
npm	cookie	1.1.1	runtime	false	registry:npmjs	sha512-ei8Aos7ja0weRpFzJnEA9UHJ/7XQmqglbRwnf2ATjcB9Wq874VKH9kfjjirM6UhU2/E5fFYadylyhFldcqSidQ==	npm:node_modules/cookie
npm	css-tree	3.2.1	dev	false	registry:npmjs	sha512-X7sjQzceUhu1u7Y/ylrRZFU2FS6LRiFVp6rKLPg23y3x3c3DOKAwuXGDp+PAGjh6CSnCjYeAul8pcT8bAl+lSA==	npm:node_modules/css-tree
npm	csstype	3.2.3	dev	false	registry:npmjs	sha512-z1HGKcYy2xA8AGQfwrn0PAy+PB7X/GSj3UVJW9qKyn43xWa+gl5nXmU4qqLMRzWVLFC8KusUX8T/0kCiOYpAIQ==	npm:node_modules/csstype
npm	data-urls	7.0.0	dev	false	registry:npmjs	sha512-23XHcCF+coGYevirZceTVD7NdJOqVn+49IHyxgszm+JIiHLoB2TkmPtsYkNWT1pvRSGkc35L6NHs0yHkN2SumA==	npm:node_modules/data-urls
npm	decimal.js	10.6.0	dev	false	registry:npmjs	sha512-YpgQiITW3JXGntzdUmyUR1V812Hn8T1YVXhCu+wO3OpS4eU9l4YdD3qjyiKdV6mvV29zapkMeD390UVEf2lkUg==	npm:node_modules/decimal.js
npm	dequal	2.0.3	dev	false	registry:npmjs	sha512-0je+qPKHEMohvfRTCEo3CrPG6cAzAYgmzKyxRiYSSDkS6eGJdyVJm7WaYA5ECaAD9wLB2T4EEeymA5aFVcYXCA==	npm:node_modules/dequal
npm	detect-libc	2.1.2	dev	false	registry:npmjs	sha512-Btj2BOOO83o3WyH59e8MgXsxEQVcarkUOpEYrubB0urwnN10yQ364rsiByU11nZlqWYZm05i/of7io4mzihBtQ==	npm:node_modules/detect-libc
npm	dom-accessibility-api	0.5.16	dev	false	registry:npmjs	sha512-X7BJ2yElsnOJ30pZF4uIIDfBEVgF4XEBxL9Bxhy6dnrm5hkzqmsWHGTiHqRiITNhMyFLyAiWndIJP7Z1NTteDg==	npm:node_modules/dom-accessibility-api
npm	entities	8.0.0	dev	false	registry:npmjs	sha512-zwfzJecQ/Uej6tusMqwAqU/6KL2XaB2VZ2Jg54Je6ahNBGNH6Ek6g3jjNCF0fG9EWQKGZNddNjU5F1ZQn/sBnA==	npm:node_modules/entities
npm	es-module-lexer	2.3.1	dev	false	registry:npmjs	sha512-shc1dbU90Yl/xq1QrC7QRtfcwURZuVRfPhZbDoldJ1cn1gzDvBaBWlv0eFolj5+0znnPJz5TXLxsN77X/12KTA==	npm:node_modules/es-module-lexer
npm	estree-walker	3.0.3	dev	false	registry:npmjs	sha512-7RUKfXgSMMkzt6ZuXmqapOurLGPPfgj6l9uRZ7lRGolvk0y2yocc35LdcxKC5PQZdn2DMqioAQ2NoWcrTKmm6g==	npm:node_modules/estree-walker
