ecosystem	name	version	license_file	sha256	lock_key	evidence_status	reason
npm	ansi-styles	5.2.0	license	48DA2F39E100D4085767E94966B43F4FA95FF6A0698FBA57ED460914E35F94A0	npm:node_modules/ansi-styles	HASHED	PACKAGED_LICENSE_FILE
npm	aria-query	5.3.0	LICENSE	C8DF456C7CCBA74B959087DFF494D4AC2A12DFB0400C08B46B2494A08A000567	npm:node_modules/aria-query	HASHED	PACKAGED_LICENSE_FILE
npm	assertion-error	2.0.1	LICENSE	2130216D5AB4C02134F8247F32999FEDA0ABE1EAF028218BAEAC445C19CE4CEA	npm:node_modules/assertion-error	HASHED	PACKAGED_LICENSE_FILE
npm	axe-core	4.12.1	LICENSE	AF175B9D96EE93C21A036152E1B905B0B95304D4AE8C2C921C7609100BA8DF7E	npm:node_modules/axe-core	HASHED	PACKAGED_LICENSE_FILE
npm	axe-core	4.12.1	LICENSE-3RD-PARTY.txt	4F8563870D0FCA38BBC3E00B6F670CB7FA9F380BA9F26A7F7D1184A6B18B1653	npm:node_modules/axe-core	HASHED	PACKAGED_LICENSE_FILE
npm	better-course-schedule-planner-frontend	0.0.1	LICENSE	3AA48530C315D0B08D47CB03B2D1B31871FA79102B7EA896C5DCC51990497F95	npm:.	HASHED	PACKAGED_LICENSE_FILE
npm	bidi-js	1.0.3	LICENSE.txt	49D4D143FED599DEB502A0FE6E02F49832F87E9A3A4CD0502E469596D50FAA6D	npm:node_modules/bidi-js	HASHED	PACKAGED_LICENSE_FILE
npm	chai	6.2.2	LICENSE	B181DA80336FF9DD1043FC8BE1A764D7382363433319AA872E4D2CB5CE2A3066	npm:node_modules/chai	HASHED	PACKAGED_LICENSE_FILE
npm	convert-source-map	2.0.0	LICENSE	1FA6EE8BB95A81AE3D73A5BD074A3AC380FFEC13697051063CA1A601921B91DB	npm:node_modules/convert-source-map	HASHED	PACKAGED_LICENSE_FILE
npm	cookie	1.1.1	LICENSE	C02110EEDC16C7114F1A9BDC026C65626CE1D9C7E27FD51A8E0FEEE8A48A6858	npm:node_modules/cookie	HASHED	PACKAGED_LICENSE_FILE
npm	css-tree	3.2.1	LICENSE	719A251CECA49C057EA90A1152AF6546B767EC88E6D573BB6324454267B32C22	npm:node_modules/css-tree	HASHED	PACKAGED_LICENSE_FILE
npm	csstype	3.2.3	LICENSE	11D55BD4541C75EE7879547AC49089C489163DAE49551389713C3D026CAB383E	npm:node_modules/csstype	HASHED	PACKAGED_LICENSE_FILE
npm	data-urls	7.0.0	LICENSE.txt	528EEC83CB836A0ADDA9F8FC3D6A2A70A710D6CC0BE9A155F92212C8DF28ACFA	npm:node_modules/data-urls	HASHED	PACKAGED_LICENSE_FILE
npm	decimal.js	10.6.0	LICENCE.md	3108B546BCFF5D346923A82F48B2D252CA722F9088076DB6D145F6B67757AD6C	npm:node_modules/decimal.js	HASHED	PACKAGED_LICENSE_FILE
npm	dequal	2.0.3	license	306FA513E39B23A6E8747520DE761809D206B99800EF41907B530226574C59AE	npm:node_modules/dequal	HASHED	PACKAGED_LICENSE_FILE
npm	detect-libc	2.1.2	LICENSE	B40930BBCF80744C86C46A12BC9DA056641D722716C378F5659B9E555EF833E1	npm:node_modules/detect-libc	HASHED	PACKAGED_LICENSE_FILE
npm	dom-accessibility-api	0.5.16	LICENSE.md	0FFE67FE630169DE46DF2D29DC18F5857B4C98F0F95B0CD9E3C21FEF51F9A9B8	npm:node_modules/dom-accessibility-api	HASHED	PACKAGED_LICENSE_FILE
npm	entities	8.0.0	LICENSE	CB992345949CCD6E8394B2CD6C465F7B897C864F845937DBF64E8997F389E164	npm:node_modules/entities	HASHED	PACKAGED_LICENSE_FILE
